id,title,director,year,country,image,synopsis
46,THE SEX LIVES OF COLLEGE GIRLS,Kabir Akhtar & 2 de plus, 2021,Etats-Unis,https://images.mubicdn.net/images/film/319086/cache-717022-1632729287/image-w1280.jpg?size=400x,"Three 18-year-old freshman roommates at Evermore College in Vermont. A bundle of contradictions and hormones, these sexually active college girls are equal parts lovable and infuriating."
47,FRAGRANCE OF THE FIRST FLOWER,Angel I-Han Teng , 2021,Taiwan,https://images.mubicdn.net/images/film/324771/cache-731750-1652862670/image-w1280.jpg?size=400x,"Reveals the love and lust between two women, the conflicts between gay family and traditional stereotypes. It finds back the forgotten love with a romantic touch."
48,SORT OF,Fab Filippo & 4 de plus, 2021,Canada,https://images.mubicdn.net/images/film/315049/cache-705431-1639201141/image-w1280.jpg?size=400x,"Follows a gender-fluid millennial who straddles various identities, exposing the identities and labels that are no longer applicable."
49,BESTIES,Marion Desseigne-Ravel , 2021,France,https://images.mubicdn.net/images/film/313537/cache-700876-1627639568/image-w1280.jpg?size=400x,"Paris. Nedjma, a teenager living with her mom and sister, spends the summer with her squad. She sees her life turned upside down when she meets Zina, coming from the opposite gang. They are rivals in broad daylight , but lovers in secret."
50,ULTRAVIOLETTE AND THE BLOOD-SPITTERS GANG,Robin Hunzinger , 2021,France,https://images.mubicdn.net/images/film/329368/cache-744119-1649456784/image-w1280.jpg?size=400x,"The passionate letters that a girl called Marcelle wrote to her childhood sweetheart from a sanatorium during the interwar period evoke the image of a rebel, way ahead of her time, who goes her own way with a group of kindred spirits."
51,THE WHITE LOTUS,Mike White , 2021,Etats-Unis,https://images.mubicdn.net/images/film/282502/cache-684123-1629255689/image-w1280.jpg?size=400x,The White Lotus follows the vacations of various hotel guests over the span of a week as they relax and rejuvenate in paradise.
52,RIDE OR DIE,Ryuichi Hiroki , 2021,Japon,https://images.mubicdn.net/images/film/294682/cache-661894-1617214276/image-w1280.jpg?size=400x,"Rei is a lesbian in her 20s who, upon learning that her former classmate Nanae is suffering brutal domestic violence from her husband, decides to kill him to show her love for Nanae."
53,BENEDETTA,Paul Verhoeven , 2021,France,https://images.mubicdn.net/images/film/176949/cache-367116-1656668428/image-w1280.jpg?size=400x,"Une scandaleuse liaison lesbienne ebranle un couvent de la Toscane du XVIIe siecle. Benedetta, une religieuse en proie a des visions de Jesus sensuelles et violentes, eveille les soupcons de Soeur Felicita. La mefiance grandit lorsque Bartolomea commence a etre dangereusement attiree par Benedetta."
54,MADRES PARALELAS,Pedro Almodovar , 2021,Espagne,https://images.mubicdn.net/images/film/271998/cache-818108-1664551161/image-w1280.jpg?size=400x,"Deux femmes, Janis et Ana, se retrouvent dans une chambre d'hopital ou elles vont accoucher. Toutes deux sont celibataires et sont tombees enceintes par accident. Janis, la plus agee, est toute a son bonheur. Ana, encore adolescente, demeure traumatisee par l'experience."
55,ALL OUR FEARS,"Lukasz Ronduda, Lukasz Gutt ", 2021,Pologne,https://images.mubicdn.net/images/film/319169/cache-717255-1643398936/image-w1280.jpg?size=400x,"Daniel is respected by his village community as long as he bravely supports the fight for their affairs. He is in love with the boy next door, Olek, who is not ready to reveal his sexual identity."
56,"MA BELLE, MY BEAUTY",Marion Hill , 2021,France,https://images.mubicdn.net/images/film/287908/cache-619860-1627569140/image-w1280.jpg?size=400x,A surprise reunion in southern France reignites passions and jealousies between two women who were formerly polyamorous lovers.
57,SHEER QORMA,Faraz Arif Ansari , 2021,Inde,https://images.mubicdn.net/images/film/257664/cache-514580-1620896576/image-w1280.jpg?size=400x,"Sheer Qorma is a story of belonging and acceptance, identity and family told through courageous, queer women who choose to embrace a love that exists beyond their personal beliefs and social moralities."
58,CAMILA COMES OUT TONIGHT,Ines Maria Barrionuevo , 2021,Argentine,https://images.mubicdn.net/images/film/312809/cache-698553-1627045764/image-w1280.jpg?size=400x,"When her grandmother falls seriously ill, Camila must move to Buenos Aires, leaving her friends and an easy-going comprehensive school for a traditional private institution. Camila's ferocious but immature temperament will be put to the test."
59,NO STRAIGHT LINES: THE RISE OF QUEER COMICS,Vivian Kleiman , 2021,Etats-Unis,https://images.mubicdn.net/images/film/303636/cache-671240-1622408418/image-w1280.jpg?size=400x,A lively look at five LGBTQ+ comic book artists whose careers go from the underground scene to the cover of Time Magazine and the international stage. An adaption of Justin Hall's anthology of the same name.
60,ONE IN A THOUSAND,Clarisa Navas , 2020,Argentine,https://images.mubicdn.net/images/film/255132/cache-506364-1623846304/image-w1280.jpg?size=400x,"Dans une cite en Argentine, Iris, 17 ans, est immediatement attiree par Renata, une jeune femme au passe difficile. Elle devra surmonter ses peurs et affronter ses incertitudes si elle veut esperer connaitre son veritable premier amour."
61,VALENTINA,Cassio Pereira dos Santos , 2020,Bresil,https://images.mubicdn.net/images/film/276581/cache-578928-1597985533/image-w1280.jpg?size=400x,"A trans girl and her mother move to a new town in order to start fresh, but quickly face dilemmas when the local high school needs a second parental signature for enrollment."
62,MY FIRST SUMMER,Katie Found , 2020,Australie,https://images.mubicdn.net/images/film/282535/cache-600271-1603280945/image-w1280.jpg?size=400x,"16-year-old Claudia has grown up in isolation from the outside world. Stranded on a remote property after her mother's death, she is shocked when Grace, a spirited local teen, appears in the garden like a mirage, a breath of fresh, sugary air. The pair find in each other the support,"
63,HER MOTHERS,"Asia Der, Sari Haragonics ", 2020,Hongrie,https://images.mubicdn.net/images/film/263901/cache-538520-1588075360/image-w1280.jpg?size=400x,"In this intimate tale of love and freedom, a lesbian couple contends with homophobia in an increasingly radicalized Hungary as they struggle to create a family through adoption and to define their roles in motherhood."
64,SCENES I IMAGINE,Metin Akdemir , 2020,Turquie,https://images.mubicdn.net/images/film/293790/cache-713162-1631603138/image-w1280.jpg?size=400x,"Scenes I Imagine is about the relationships between female characters in productions that were known as ""women films"" in Turkish cinema in the 1980s and early 90s. Could the deep bonds between women also point to relationships of a sexual and emotional nature that are hidden beneath the surface?"
65,TOVE,Zaida Bergroth , 2020,Finlande,https://images.mubicdn.net/images/film/276622/cache-579070-1688079444/image-w1280.jpg?size=400x,"The movie centres on the life of Tove Jansson, showing both her personal relationships, and the creation of the popular Moomin books."
66,AHEAD OF THE CURVE,Jen Rainin , 2020,Etats-Unis,https://images.mubicdn.net/images/film/266305/cache-548697-1590368856/image-w1280.jpg?size=400x,"With a fist full of credit cards, a lucky run at the horse track, and a title that called to mind a certain French film star, Franco Stevens launched the best-selling lesbian lifestyle magazine ever published, connecting her community in an unprecedented way. AHEAD OF THE CURVE is a new featur."
67,THE WORLD TO COME,Mona Fastvold , 2020,Etats-Unis,https://images.mubicdn.net/images/film/235500/cache-573515-1626426963/image-w1280.jpg?size=400x,"Upstate New York, 1850s. Abigail begins a new year on the rural farm where she lives with her husband. Spring arrives and Abigail meets Tallie, a newcomer renting a nearby farm with her husband. The two strike up a tentative relationship, filling a void in their lives which neither knew existed."
68,UN METRE VINGT,"Maria Belen Poncio, Rosario Perazolo Masjoan ", 2020,France,https://images.mubicdn.net/images/film/288688/cache-623253-1608902116/image-w1280.jpg?size=400x,"Juana, 17 ans, veut vivre sa premiere fois. Et ce n'est pas son fauteuil roulant qui va l'en empecher. Dans son nouveau lycee en Argentine, elle s'engage dans la lutte pour l'education sexuelle et devient une porte-parole."
69,GINNY & GEORGIA,Anya Adams & 4 de plus, 2021,Etats-Unis,https://images.mubicdn.net/images/film/293038/cache-639947-1612091644/image-w1280.jpg?size=400x,"Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller."
70,RATCHED,Ryan Murphy & 5 de plus, 2020,Etats-Unis,https://images.mubicdn.net/images/film/227594/cache-543805-1702843318/image-w1280.jpg?size=400x,"A young nurse at mental institution becomes jaded, bitter and a downright monster to her patients."
71,ASPHALT GODDESS,Julian Hernandez , 2020,Mexique,https://images.mubicdn.net/images/film/261023/cache-526673-1585093947/image-w1280.jpg?size=400x,"Max returns to her slum turned into the vocalist of a rock band. There, the memories await, the latest news and the truths that were silent for years: Sonia is a voice that speaks from the death, Ramira and Carcacha regent with the neighborhood s misery, and Guama sinks into madness."
