id,title,director,year,country,image,synopsis
268,ALBERT NOBBS,Rodrigo Garcia , 2011,Irlande,https://images.mubicdn.net/images/film/87271/cache-39621-1639672817/image-w1280.jpg?size=400x,"In nineteenth century Ireland, painfully shy butler Albert Nobbs hides an incredible secret: she poses as a man so she can find work. Terrified that someone will discover her identity, Albert keeps a very low profile, until the arrival of Hubert Page--another woman in her same situation."
269,VOLTIGES,Lisa Aschan , 2011,Suede,https://images.mubicdn.net/images/film/42765/cache-47519-1561784413/image-w1280.jpg?size=400x,No synopsis available
270,LE VOYAGE DE LUCIA,Stefano Pasetto , 2010,Argentine,https://images.mubicdn.net/images/film/33270/cache-33917-1570428988/image-w1280.jpg?size=400x,No synopsis available
271,JAMIE AND JESSIE ARE NOT TOGETHER,Wendy Jo Carlton , 2011,Etats-Unis,https://images.mubicdn.net/images/film/48162/cache-38323-1550309435/image-w1280.jpg?size=400x,From writer/director Wendy Jo Carlton (Hannah Free) comes a lesbian romantic comedy-with musical numbers!-for anyone who has ever fallen for a friend.
272,"BUMBLEFUCK, USA",Aaron Douglas Johnston , 2011,Etats-Unis,https://images.mubicdn.net/images/film/99319/cache-63767-1445927506/image-w1280.jpg?size=400x,"Distraught by the suicide of her gay friend Matt, Alexa travels from Amsterdam to her dead friend's small American town, hoping to uncover the reasons that led Matt to take his own life. She arrives with a backpack, her video camera and intentions to make a film..."
273,SPORK,J.B. Ghuman Jr. , 2010,Etats-Unis,https://images.mubicdn.net/images/film/25555/cache-17201-1560040903/image-w1280.jpg?size=400x,"Junior high isn't easy for anyone-- especially if you're a frizzy-haired, pink-cheeked hermaphrodite like Spork."
274,YOU AND I,Roland Joffe , 2008,Russie,https://images.mubicdn.net/images/film/43198/cache-33312-1445893877/image-w1280.jpg?size=400x,"Two teenage girls, Janie who is American and Lana who is Russian, are a couple of adventurous, creative, and talented wannabe-nihilists who escape their lives of drug addiction and poverty."
275,PARIAH,Dee Rees , 2011,Etats-Unis,https://images.mubicdn.net/images/film/36647/cache-47957-1645208392/image-w1280.jpg?size=400x,"A Bronx lesbian teenager juggles multiple identities to avoid rejection from friends and family, but pressure from home, school, and within corrodes the line between her dual personas with explosive consequences."
276,CLOUDBURST,Thom Fitzgerald , 2011,Canada,https://images.mubicdn.net/images/film/95379/cache-57044-1519466800/image-w1280.jpg?size=400x,Colloquial humour colours Thom Fitzgerald's romantic comedy about a lesbian couple planning to wed in Canada after more than 30 years together. Oscar-winner Olympia Dukakis shines in this beautiful love story as the defiant and hilariously profane Stella.
277,THREE VEILS,Rolla Selbak , 2011,Etats-Unis,https://images.mubicdn.net/images/film/146749/cache-168341-1472549032/image-w1280.jpg?size=400x,"A 2011 English language drama film written and directed by Rolla Selbak, starring Sheetal Sheth, Angela Zahra and Mercedes Mason."
278,THE OWLS,Cheryl Dunye , 2010,Etats-Unis,https://images.mubicdn.net/images/film/26582/cache-18052-1445872203/image-w1280.jpg?size=400x,The Owls est un thriller experimental devoilant l'histoire de deux couples lesbiens d'age mur ayant accidentellement tue une jeune femme et qui tentent de le cacher. Par le realisateur de The Watermelon Woman.
279,NOUS SOMMES LA NUIT,Dennis Gansel , 2010,Allemagne,https://images.mubicdn.net/images/film/35463/cache-25407-1445882078/image-w1280.jpg?size=400x,"Lena, 20 ans, est une marginale qui vit de larcins. Lors d'une de ses virees nocturnes, elle penetre dans un club underground et rencontre Louise, la proprietaire."
280,A MARINE STORY,Ned Farr , 2010,Etats-Unis,https://images.mubicdn.net/images/film/41069/cache-30829-1445890003/image-w1280.jpg?size=400x,A decorated Marine officer unexpectedly returns home from the war and is quickly recruited to help a troubled teen prepare for boot camp.
281,COMMENT T'OUBLIER?,Malu de Martino , 2010,Bresil,https://images.mubicdn.net/images/film/88946/cache-41608-1570425275/image-w1280.jpg?size=400x,"Julia is a 35-year-old English Literature teacher struggling with depression as she tries to get her life back together again after her long, intense love affair with Antonia. Feeling totally abandoned after she and her enigmatic girlfriend broke up, Julia is thrown into a painful process."
282,KABOOM,Gregg Araki , 2010,Etats-Unis,https://images.mubicdn.net/images/film/24187/cache-51181-1687858114/image-w1280.jpg?size=400x,"Smith mene une vie tranquille sur le campus - il traine avec sa meilleure amie, l'insolente Stella, couche avec la belle London, tout en desirant Thor, son sublime colocataire, un surfeur un peu simplet - jusqu'a une nuit terrifiante ou tout va basculer."
283,TOUT VA BIEN! THE KIDS ARE ALL RIGHT,Lisa Cholodenko , 2010,Etats-Unis,https://images.mubicdn.net/images/film/22081/cache-32746-1525461304/image-w1280.jpg?size=400x,"Maintenant que Joni a l'age legal pour acceder a leur dossier a la banque du sperme, son frere et elle decident de retrouver le donneur dont ils sont tous deux issus. Papa-donneur est rapidement seduit par les deux adolescents qui frappent a sa porte."
284,LES RUNAWAYS,Floria Sigismondi , 2010,Etats-Unis,https://images.mubicdn.net/images/film/21870/cache-14408-1481781602/image-w1280.jpg?size=400x,"In 1970s LA, a tough teenager named Joan Jett connects with an eccentric producer to form an all-girl band that would launch her career and make rock history."
285,DIFFICULT LOVE,"Peter Goldsmid, Zanele Muholi ", 2010,Afrique du Sud,https://images.mubicdn.net/images/film/90296/cache-43233-1445908292/image-w1280.jpg?size=400x,"Difficult Love presents a lively personal take on the challenges facing Black lesbians in South Africa today. It features the life, photographs, work, friends and associates of ""visual activist"" and renowned photographer, Zanele Muholi (who also narrates the film)."
286,ELENA UNDONE,Nicole Conn , 2010,Etats-Unis,https://images.mubicdn.net/images/film/40328/cache-30236-1590415115/image-w1280.jpg?size=400x,"Fate brings two diversely different women together, and sets them on a collision course that will shatter their preconceived notions about love, life and the power of one's soul."
287,BLOOMINGTON,Fernanda Cardoso , 2010,Etats-Unis,https://images.mubicdn.net/images/film/34392/cache-36043-1445898225/image-w1280.jpg?size=400x,"A young former child actress enrolls in college searching for a new direction in her life. She meets a mysterious teacher that seduces her and an illicit affair is started. But when the former actress receives an offer to return to Hollywood, their relationship is endangered."
288,LE JOURNAL SECRET D'ANNE LISTER,James Kent , 2010,Royaume-Uni,https://images.mubicdn.net/images/film/39913/cache-29921-1556949719/image-w1280.jpg?size=400x,19th century lesbian pioneer Anne Lister is brought vividly to life in this fantastic new drama from the BBC.
289,AND THEN CAME LOLA,"Megan Siler, Ellen Seidler ", 2009,Etats-Unis,https://images.mubicdn.net/images/film/36859/cache-26683-1548249747/image-w1280.jpg?size=400x,"Lola, une photographe talentueuse mais tres distraite, est sur le point de tout avoir, l'amour et le travail.
Mais elle peut aussi tout perdre si elle n'arrive pas a temps a une reunion cruciale."
290,ROOM IN ROME,Julio Medem , 2010,Espagne,https://images.mubicdn.net/images/film/26250/cache-898565-1691673763/image-w1280.jpg?size=400x,"Deux etrangeres, une russe et une espagnole, se rencontrent par hasard dans un hotel de Rome. Elles ont une nuit pour faire connaissance. S'ensuit une aventure passionnelle entre les deux jeunes femmes..."
291,LA MENTEUSE AUX QUATRE VISAGES,Jacob Chase , 2010,Etats-Unis,https://images.mubicdn.net/images/film/40990/cache-50928-1600103163/image-w1280.jpg?size=400x,A story of love and lies for four twenty-somethings looking to find themselves in New York City.
292,CRACKS,Jordan Scott , 2009,Irlande,https://images.mubicdn.net/images/film/20499/cache-31346-1505874530/image-w1280.jpg?size=400x,"In an austere and remote all-girls boarding school, the most elite students are the illustrious members of the schools' diving team. Di, Lily, Poppy, Laurel, Rosie and Fuzzy are the envy of their fellow pupils who watch on as the girls compete for the attention of their glamorous teacher Miss G."
293,ELOISE'S LOVER,Jesus Garay , 2009,Espagne,https://images.mubicdn.net/images/film/95795/cache-58366-1445923316/image-w1280.jpg?size=400x,A young woman is hospitalized and in a coma after a serious accident. Through flashbacks we learn of her feelings for a another woman.
294,THE LAST SECT,Jonathan Dueck , 2006,Canada,https://images.mubicdn.net/images/film/68284/cache-150346-1465904007/image-w1280.jpg?size=400x,A vampire hunter tracks female bloodsuckers who use an Internet dating site to lure men and women.
295,CHLOE,Atom Egoyan , 2009,Etats-Unis,https://images.mubicdn.net/images/film/20450/cache-13326-1587390438/image-w1280.jpg?size=400x,"Catherine, un medecin, soupconne son mari David, un charmant professeur de musique, de la tromper. Pour apaiser ses soupcons et ses craintes, elle engage une jeune femme irresistible, Chloe, pour tester la fidelite de David. Mais des evenements imprevus vont commencer a mettre la famille en danger."
296,BANDAGED,Maria Beatty , 2009,Allemagne,https://images.mubicdn.net/images/film/28413/cache-19587-1445874135/image-w1280.jpg?size=400x,A forbidden affair begins between a nurse and the suicidal daughter of a wealthy surgeon whose face has been badly damaged.
297,EL NINO PEZ,Lucia Puenzo , 2009,Argentine,https://images.mubicdn.net/images/film/21279/cache-48665-1680101799/image-w1280.jpg?size=400x,"Lala, une ado des banlieues riches de Buenos Aires, est amoureuse d'Ailin, une domestique paraguayenne. Elles prevoient de voler la famille de Lala pour financer leur reve de vie au Paraguay. Mais lorsqu'Ailin est placee dans un centre pour jeunes delinquants, Lala decide de la sauver."
298,THE WORLD UNSEEN,Shamim Sarif , 2007,Royaume-Uni,https://images.mubicdn.net/images/film/91990/cache-45508-1572954957/image-w1280.jpg?size=400x,A drama centered on two women who engage in a dangerous relationship during South Africa's apartheid era.
299,DROOL,Nancy Kissam , 2009,Etats-Unis,https://images.mubicdn.net/images/film/24589/cache-16404-1445870077/image-w1280.jpg?size=400x,"Anora a un mari, deux beaux enfants et un joli pavillon en banlieue. Mais son mari la frappe, et ses enfants l'ignorent. Aussi, lorsque son regard croise celui de sa nouvelle voisine, l'exuberante Imogene, Anora decouvre un nouveau monde plein de possibilites."
300,MISSISSIPPI DAMNED,Tina Mabry , 2009,Etats-Unis,https://images.mubicdn.net/images/film/83774/cache-119704-1445971104/image-w1280.jpg?size=400x,"While growing up in rural Mississippi, three children from an impoverished black family with a long history of violence, addiction and abuse separately attempt to escape their suffocating circumstances but encounter devastating setbacks."
301,GLEE,Bradley Buecker & 8 de plus, 2009,Etats-Unis,https://images.mubicdn.net/images/film/192589/cache-296352-1595782856/image-w1280.jpg?size=400x,"A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club, where they find strength, acceptance and, ultimately, their voice, while working to pursue dreams of their own."
302,MY NORMAL,Irving Schwartz , 2009,Etats-Unis,https://images.mubicdn.net/images/film/84519/cache-125031-1450439899/image-w1280.jpg?size=400x,"Natalie is an attractive New York City lesbian who pays the bills by working as a dominatrix while she pursues her filmmaking ambitions. Her unique talents make her a star in the erotic services trade, and a new romance is showing promise as well."
303,LESBIAN VAMPIRE KILLERS,Phil Claydon , 2009,Royaume-Uni,https://images.mubicdn.net/images/film/43918/cache-34960-1445896503/image-w1280.jpg?size=400x,"Their women having been enslaved by the local pack of lesbian vampires thanks to an ancient curse, the remaining menfolk of a rural town send two hapless young lads out onto the moors as a sacrifice."
304,VIOLA DI MARE,Donatella Maiorca , 2009,Italie,https://images.mubicdn.net/images/film/33672/cache-23894-1570427262/image-w1280.jpg?size=400x,"From the novel Minchia di Re by Giacomo Pilati comes a scandal hidden in 19th century Sicily between two young women, Angela and Sara."
305,I CAN'T THINK STRAIGHT,Shamim Sarif , 2007,Royaume-Uni,https://images.mubicdn.net/images/film/78678/cache-41098-1572955975/image-w1280.jpg?size=400x,"When Tala and Leyla meet in London and begin to have feelings for each other, it's a problem. Tala's wealthy Middle Eastern family is currently planning her wedding, while Leyla is dating Tala's male friend."
306,RIPARO,Marco S. Puccioni , 2007,France,https://images.mubicdn.net/images/film/20947/cache-13684-1481144818/image-w1280.jpg?size=400x,"Anna et Mara rentrent de voyage et realisent qu'Anis, un jeune immigrant marocain, tente de se cacher dans leur voiture pour passer la frontiere italienne."
307,VAMPIRE DIARY,"Phil O'Shea, Mark James ", 2006,Royaume-Uni,https://images.mubicdn.net/images/film/74560/cache-92738-1498805631/image-w1280.jpg?size=400x,"While trolling London's Goth clubs to chronicle a subculture of wannabe vampires, nascent filmmaker Holly meets and falls for smoldering lesbian Vicki -- who turns out to be a bona-fide bloodsucker."
308,AFFINITY,Tim Fywell , 2008,Canada,https://images.mubicdn.net/images/film/79606/cache-45721-1445911723/image-w1280.jpg?size=400x,"When wealthy 19th-century socialite Margaret Prior tries to find purpose in her life by volunteering at a women's prison, she becomes obsessed with one inmate whose gifts for the paranormal hold a special attraction."
309,MEL ET JENNY,Nana Neul , 2008,Allemagne,https://images.mubicdn.net/images/film/39953/cache-29960-1560163336/image-w1280.jpg?size=400x,"Mel, une jeune femme garconne, vit dans le plus grand ennui en Allemagne mais reve de voir le monde. Lorsqu'elle est confondue avec un homme, elle se reinvente en Miguel ; un garcon portugais doux et romantique ; et seduit Jenny, une belle adolescente."
310,TICK TOCK LULLABY,Lisa Gornick , 2007,Royaume-Uni,https://images.mubicdn.net/images/film/74668/cache-45519-1445911190/image-w1280.jpg?size=400x,"As their biological clocks tick down, a lesbian couple embarks on a quest for the ideal sperm donor in this well-crafted indie tale from Britain."
311,DE L'AUTRE COTE,Fatih Akin , 2007,Allemagne,https://images.mubicdn.net/images/film/126/cache-973418-1717492725/image-w1280.jpg?size=400x,"Malgre les reticences de son fils Nejat, Ali, veuf, decide de vivre avec Yeter, une prostituee d'origine turque comme lui. Mais Nejat, jeune prof d'allemand, se prend d'affection pour Yeter lorsqu'il comprend qu'elle envoie son argent a sa fille en Turquie, pour lui payer des etudes."
312,NAISSANCE DES PIEUVRES,Celine Sciamma , 2007,France,https://images.mubicdn.net/images/film/1589/cache-48009-1587466167/image-w1280.jpg?size=400x,"Lorsque trois adolescentes de 15 ans venant des banlieues modernes de Paris se croisent a la piscine municipale, l'amour et le desir se revelent dramatiquement. Leurs relations evoluent lentement lorsqu'elle commencent a saisir le sens du desir et le pouvoir de l'attraction sexuelle."
313,CARAMEL,Nadine Labaki , 2007,Liban,https://images.mubicdn.net/images/film/1189/cache-115523-1573625150/image-w1280.jpg?size=400x,"A Beyrouth, cinq femmes se croisent regulierement dans un institut de beaute, microcosme colore et sensuel ou plusieurs generations se rencontrent, se parlent et se confient."
314,LOVING ANNABELLE,Katherine Brooks , 2006,Etats-Unis,https://images.mubicdn.net/images/film/36860/cache-26684-1569544437/image-w1280.jpg?size=400x,"Apres avoir ete une nouvelle fois viree d'un lycee, Annabelle se retrouve dans un pensionnat catholique pour jeunes filles. La directrice demande a Simone, enseignante en litterature, de surveiller de pres cette etudiante sulfureuse qui ne cache pas son attirance pour les femmes."
315,QUATRE MINUTES,Chris Kraus , 2006,Allemagne,https://images.mubicdn.net/images/film/11081/cache-92447-1536151128/image-w1280.jpg?size=400x,"Traude enseigne le piano (Monica Bleibtreu) et la musique a des femmes en prison. Jenny (Hannah Herzsprung), une des detenues, est destructrice et violente mais etait tres douee au piano. Traude tente de la ramener a la musique et de la guider afin qu'elle puisse participer a un prestigieux concours"
316,SOAP,Pernille Fischer Christensen , 2006,Danemark,https://images.mubicdn.net/images/film/3135/cache-9925-1497438896/image-w1280.jpg?size=400x,"Charlotte, jeune femme de 32 ans, peut tout avoir si elle le desire, mais elle ne veut rien de tout cela. Lorsqu'elle se separe de son fiance, Charlotte rencontre Veronica, sa voisine du dessus qui se trouve etre un transsexuel."
317,FABULOUS! L'HISTOIRE DU CINEMA GAY,"Lisa Ades, Lesli Klainberg ", 2006,Etats-Unis,https://images.mubicdn.net/images/film/22957/cache-15111-1675295191/image-w1280.jpg?size=400x,"A chronological look at films by, for, or about gays and lesbians in the United States, from 1947 to 2005, Kenneth Anger's Fireworks to Brokeback Mountain Talking heads, anchored by critic and scholar B. Ruby Rich, are interspersed with an advancing timeline and with clips from various films."
318,GRAY MATTERS,Sue Kramer , 2006,Etats-Unis,https://images.mubicdn.net/images/film/72620/cache-108342-1445960596/image-w1280.jpg?size=400x,"Sam and Gray are a devoted brother and sister who share a dwelling and a love of many things -- ballroom dancing, 1940s movie musicals and, much to their surprise, strong feelings for an attractive woman."
319,IMPAIR AU MARIAGE,Lee Friedlander , 2007,Etats-Unis,https://images.mubicdn.net/images/film/75115/cache-46862-1570428142/image-w1280.jpg?size=400x,"When New Yorker Alex goes to South Carolina for her sister Jeannie's wedding, she doesn't want her bigoted family to know about her black, Jewish fiance -- so instead, they arrive at the conclusion that Alex is gay."
320,ITTY BITTY TITTY COMMITTEE,Jamie Babbit , 2007,Etats-Unis,https://images.mubicdn.net/images/film/27860/cache-113872-1549787035/image-w1280.jpg?size=400x,"High School grad and all American gal, Anna finds her purpose and herself after she hooks up with the radical feminists in The Itty Bitty Titty Committee."
321,PUSINSKY,Karin Babinska , 2007,Republique Tcheque,https://images.mubicdn.net/images/film/45074/cache-35129-1445896765/image-w1280.jpg?size=400x,"Le debut des vacances. Trois filles, 18 ans et le bac en poche, decident de profiter de leur nouvelle liberte pour rejoindre la Hollande en stop. Rythme par les abus d'alcool, les experiences sexuelles et les exces en tout genre, ce voyage va eprouver leur amitie et reveler leurs differences."
322,SKINS,Charles Martin & 18 de plus, 2007,Royaume-Uni,https://images.mubicdn.net/images/film/184744/cache-270748-1665392584/image-w1280.jpg?size=400x,The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures. (7 seasons / 61 episodes)
323,THE SECRETS,Avi Nesher , 2007,France,https://images.mubicdn.net/images/film/48091/cache-38230-1531616005/image-w1280.jpg?size=400x,"This haunting and lyrical drama explores the place of women and sexuality in Orthodox Judaism. At a Jewish women's seminary in Israel, Naomi, the devout daughter of a rabbi, meets secular roommate Michelle, and the two become fast friends and romantic feelings arise."
324,SPIDER LILIES,Chou Zero , 2007,Taiwan,https://images.mubicdn.net/images/film/18364/cache-12841-1557987413/image-w1280.jpg?size=400x,"When Jade, a web-cam girl visits Takeko's tattoo studio she becomes entranced with the image of the spider lily and with Takeko as well."
325,LOVE MY LIFE,Koji Kawano , 2006,Japon,https://images.mubicdn.net/images/film/27313/cache-18668-1570429095/image-w1280.jpg?size=400x,Ichiko and Eri are two beautiful Japanese Uni students who are in a lesbian relationship. Ichiko comes out to her father who tells her he is also gay and her mother was a lesbian.
326,IMAGINE ME & YOU,Ol Parker , 2005,Royaume-Uni,https://images.mubicdn.net/images/film/31458/cache-22167-1445877711/image-w1280.jpg?size=400x,"A newlywed bride becomes infatuated with another woman, who questions her sexual orientation, promoting a stir among the bride's family and friends."
327,LES DELICES DE NINA,Pratibha Parmar , 2006,Royaume-Uni,https://images.mubicdn.net/images/film/43354/cache-34030-1570428257/image-w1280.jpg?size=400x,A feisty young woman returns to Glasgow to run her deceased father's curry house.
328,LA TOURNEUSE DE PAGES,Denis Dercourt , 2006,France,https://images.mubicdn.net/images/film/3318/cache-10057-1557777680/image-w1280.jpg?size=400x,"Melanie tente le concours d'entree au conservatoire, mais perturbee par la presidente du jury, echoue. Dix ans plus tard, elle rencontre la femme de son patron, une pianiste, qui n'est autre que la presidente du jury de son enfance. Elle devient sa tourneuse de pages."
329,LES FILLES DU BOTANISTE,Dai Sijie , 2006,Canada,https://images.mubicdn.net/images/film/46445/cache-37068-1445899841/image-w1280.jpg?size=400x,"Dans la Chine des annees 80, tous les tabous ne sont pas leves. Min, une jeune orpheline, part faire ses etudes chez un botaniste de renom. Homme secret et pere autoritaire, son professeur vit sur une ile qu'il a transformee en jardin luxuriant. Tres vite, elle tombe amoureuse de sa fille."
330,IN HER LINE OF FIRE,Brian Trenchard-Smith , 2006,Etats-Unis,https://images.mubicdn.net/images/film/137053/cache-151087-1465907183/image-w1280.jpg?size=400x,"When the Vice President's plane goes down near a remote Pacific island, he is kidnapped by rebel forces and held for ransom. It is up to his female Secret Service agent and a press secretary to infiltrate the camp and save him."
331,OUBLIER CHEYENNE,Valerie Minetto , 2005,France,https://images.mubicdn.net/images/film/27378/cache-18719-1547893562/image-w1280.jpg?size=400x,"Cheyenne, jeune journaliste en fin de droits, decide de quitter Paris pour mener une vie marginale a la campagne. Elle laisse derriere elle la femme qu'elle aime, Sonia, prof de physique- chimie dans un lycee parisien, qui fait tout ce qu'elle peut pour l'oublier. Mais ca n'est pas si facile."
332,A LOVE TO KEEP,Juan Carlos Claver , 2006,Espagne,https://images.mubicdn.net/images/film/78319/cache-47239-1445914851/image-w1280.jpg?size=400x,"Teachers Pilar and Elvira fall in love during the final years of Francisco Franco's despotic reign, but their happiness is short-lived in this moving Spanish import."
333,THE GYMNAST,Ned Farr , 2006,Etats-Unis,https://images.mubicdn.net/images/film/68526/cache-45497-1572955686/image-w1280.jpg?size=400x,"When an injury ends her career as a gymnast, Jane falls back into lackluster job and a passionless marriage. That is, until she begins work on an aerial act with another beautiful gymnast and feels the stirrings of unexpected love."
334,RED DOORS,Georgia Lee , 2005,Etats-Unis,https://images.mubicdn.net/images/film/71655/cache-154314-1626883243/image-w1280.jpg?size=400x,"Recently retired, Ed Wong longs to break away from the monotony of his daily life, but the outlandish dramas of his daughters Samantha, Julie and Katie make escape difficult for this father of three."
335,UNVEILED,Angelina Maccarone , 2005,Allemagne,https://images.mubicdn.net/images/film/37389/cache-27346-1445884761/image-w1280.jpg?size=400x,"Fariba, jeune traductrice Iranienne menacee de mort a cause de son homosexualite, cherche refuge en Allemagne, pays dont elle maitrise parfaitement la langue. Sous une fausse identite, deguisee en homme, elle est placee dans un centre d'hebergement pour refugies."
336,LOVE & SUICIDE,Lisa France , 2005,Etats-Unis,https://images.mubicdn.net/images/film/64889/cache-254269-1505049257/image-w1280.jpg?size=400x,"When Kaye moves to New Orleans with her family and finds herself friendless in the halls of a new high school, she quickly latches on to the aggressively sexual Emily, whose influence ignites a dangerous passion between them."
337,PUCCINI ET MOI,Maria Maggenti , 2005,Etats-Unis,https://images.mubicdn.net/images/film/26821/cache-18254-1529712006/image-w1280.jpg?size=400x,"Apres s'etre separee de sa compagne, Allegra se retrouve dans le lit du sympathique professeur Philip, qui quitte Grace pour elle. Mais Allegra s'eprend de Grace au point d'entamer une idylle en parallele, sans savoir qu'il s'agit de la femme avec qui Philip a rompu pour etre avec elle..."
338,RENT,Chris Columbus , 2005,Etats-Unis,https://images.mubicdn.net/images/film/26976/cache-18389-1557307058/image-w1280.jpg?size=400x,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America."
339,MY SUMMER OF LOVE,Pawel Pawlikowski , 2004,Royaume-Uni,https://images.mubicdn.net/images/film/1737/cache-50954-1643279213/image-w1280.jpg?size=400x,"Mona, 16 ans, vit seule avec son frere aine Phil dans un village du Yorkshire. Entre ses aventures sans lendemain et ce frere en pleine crise mystique, elle s'ennuie ferme."
340,THE JOURNEY,Ligy J. Pullappally , 2004,Inde,https://images.mubicdn.net/images/film/143962/cache-149313-1465899422/image-w1280.jpg?size=400x,"In Sancharram (""The Journey""), Kiran is mortified by her growing lesbian desire for the effervescent Delilah, in an idyllic Indian village where arranged marriage is the only acceptable form of coupling."
341,NOUS ETIONS LIBRES,John Duigan , 2004,Royaume-Uni,https://images.mubicdn.net/images/film/15717/cache-41555-1480474450/image-w1280.jpg?size=400x,"Gilda shares her Paris apartment with an Irish schoolteacher, Guy Malyon, and Mia, a refugee from Spain. As the world drifts toward war, Gilda defiantly pursues her hedonistic lifestyle and burgeoning career as a photographer, but Guy and Mia feel impelled to join the fight against fascism."
342,THE L WORD,Rose Troche & 11 de plus, 2004,Etats-Unis,https://images.mubicdn.net/images/film/187001/cache-278964-1658136778/image-w1280.jpg?size=400x,"Follows the lives and loves of a small, close-knit group of lesbians living in Los Angeles as well as the friends and family members that either support or loathe them."
343,SAVING FACE,Alice Wu , 2004,Etats-Unis,https://images.mubicdn.net/images/film/24156/cache-113730-1680703057/image-w1280.jpg?size=400x,"Lorsque la veuve Hwei-Lan informe son pere qu'elle est enceinte, celui-ci la chasse de Flushing.  Ne sachant ou aller, elle emmenage chez sa fille Wil, medecin a Manhattan, qui ne veut pas de colocataire. Wil, une enfant devouee, decide alors de presenter sa mere a tous les celibataires de la ville."
344,EROS THERAPIE,Daniele Dubroux , 2004,France,https://images.mubicdn.net/images/film/23946/cache-15899-1581454364/image-w1280.jpg?size=400x,"Une mysterieuse maison close vient d'ouvrir et propose des traitements de choc, menes par des dominatrices, ""pour soulager tous les problemes de libido""."
345,SHE HATE ME,Spike Lee , 2004,Etats-Unis,https://images.mubicdn.net/images/film/8758/cache-11424-1678387886/image-w1280.jpg?size=400x,"Jack, employe d'une entreprise de biotechnologie, est licencie, et declenche une enquete sur les activites de ses patrons. Quand son ancienne petite amie Fatima lui offre de l'argent pour la feconder, elle ainsi que sa nouvelle amie Alex, Jack se lance dans le business de la procreation d'enfants."
346,D.E.B.S.,Angela Robinson , 2004,Etats-Unis,https://images.mubicdn.net/images/film/26069/cache-17625-1682625640/image-w1280.jpg?size=400x,"Recruited by the U.S. government for their unique ability to lie, cheat and fight, Amy, Max, Janet and Dominique join an underground academy of secret agents known only as D.E.B.S."
347,APRIL'S SHOWER,Trish Doolan , 2003,Etats-Unis,https://images.mubicdn.net/images/film/65653/cache-44996-1445910533/image-w1280.jpg?size=400x,"Love, laughter and friendship take center stage in this touching comedy, in which accomplished chef Alex is consumed with the preparations for the bridal shower she's throwing for her best friend, April."
348,GIRL PLAY,Lee Friedlander , 2004,Etats-Unis,https://images.mubicdn.net/images/film/62728/cache-152231-1572955672/image-w1280.jpg?size=400x,"Director Gabriel sets the stage for a real-life drama when he casts lesbians Robin and Lacie in his latest play. Robin is in a long-term relationship, and Lacie isn't ready to settle down, but as rehearsals continue the two seem to grow closer."
349,TAKE A DEEP BREATH,Dragan Marinkovic , 2004,Serbie,https://images.mubicdn.net/images/film/148220/cache-201743-1487421527/image-w1280.jpg?size=400x,"Sasa, a Belgrade University law student, tells her parents that she and her boyfriend Stefan are moving to Canada. That same night Sasa and Stefan suffer a car accident. Sasa wakes up in hospital and meets Stefan's charming and clever sister Lana, a photographer living in Paris."
350,THIRTEEN,Catherine Hardwicke , 2003,Etats-Unis,https://images.mubicdn.net/images/film/6548/cache-50597-1445919932/image-w1280.jpg?size=400x,"L.A. teenager Tracy is an excellent student in her seventh grade class and gets along well with her mother, Melanie. When she befriends Evie, the most popular girl in school, she follows Evie's lead into the harsh realities of sex, drugs, and hard-edged adventure."
351,GOLDFISH MEMORY,Elizabeth Gill , 2003,Irlande,https://images.mubicdn.net/images/film/58699/cache-46688-1572955880/image-w1280.jpg?size=400x,"In this comedy set in contemporary Dublin, Clara is stunned when she finds her boyfriend kissing someone else, setting in motion a string of romantic mishaps for the heartbroken woman and several other lovelorn characters."
352,MIMI,Claire Simon , 2002,France,https://images.mubicdn.net/images/film/197882/cache-312202-1518577599/image-w1280.jpg?size=400x,"Claire Simon's documentary is a collaborative film, an as-told-to autobiography of a woman from Nice whose family was ravaged by the Nazi occupation of France and whose own life, as a young lesbian woman at a time of intolerance, took a lyrical and rustic turn."
353,A FAMILY AFFAIR,Helen Lesnick , 2002,Country information not specified,https://images.mubicdn.net/images/film/50426/cache-663230-1617588118/image-w1280.jpg?size=400x,"Dyed-in-the-wool New Yorker Rachel moves to San Diego, where her parents now live, in search of a new life and a new love."
354,FRIDA,Julie Taymor , 2002,Etats-Unis,https://images.mubicdn.net/images/film/18664/cache-12870-1481140022/image-w1280.jpg?size=400x,"Salma Hayek stars in this visually-striking biopic about the famed Mexican artist Frida Kahlo, following her rise to fame in the art world as well as her many illicit love affairs with men and women alike."
355,LAUREL CANYON,Lisa Cholodenko , 2002,Etats-Unis,https://images.mubicdn.net/images/film/25686/cache-28126-1498801012/image-w1280.jpg?size=400x,"A pair of upper-middle class lovebirds from the East Coast relocate to Los Angeles. Freshly minted from Harvard, Sam and Alex, need some lodging while they hunt for a home. Jane, Sam's estranged, Age-of-Aquarius mom, is more than willing to put the couple up in her lavish digs."
